time,temperature_2m_mean,precipitation_sum,region
2016-09-01,26.1,0.3,AC
2016-09-02,27.0,2.1,AC
2016-09-03,24.3,15.7,AC
2016-09-04,19.5,1.3,AC
2016-09-05,21.4,0.0,AC
2016-09-06,22.2,0.0,AC
2016-09-07,23.2,0.0,AC
2016-09-08,25.3,0.0,AC
2016-09-09,27.1,0.0,AC
2016-09-10,28.6,0.0,AC
2016-09-11,29.0,0.0,AC
2016-09-12,28.7,0.8,AC
2016-09-13,28.8,1.7,AC
2016-09-14,28.8,1.7,AC
2016-09-15,25.1,11.8,AC
2016-09-16,26.2,0.2,AC
2016-09-17,27.6,0.2,AC
2016-09-18,28.2,0.2,AC
2016-09-19,25.8,30.7,AC
2016-09-20,25.4,3.0,AC
2016-09-21,26.9,0.3,AC
2016-09-22,26.5,3.8,AC
2016-09-23,26.2,16.0,AC
2016-09-24,24.2,13.7,AC
2016-09-25,25.1,2.1,AC
2016-09-26,26.3,0.5,AC
2016-09-27,26.4,3.1,AC
2016-09-28,26.9,1.7,AC
2016-09-29,27.4,5.4,AC
2016-09-30,26.9,13.8,AC
2016-10-01,27.5,8.4,AC
2016-10-02,25.5,12.8,AC
2016-10-03,25.0,9.7,AC
2016-10-04,26.7,0.3,AC
2016-10-05,27.7,1.3,AC
2016-10-06,25.4,16.5,AC
2016-10-07,24.4,5.1,AC
2016-10-08,26.2,4.4,AC
2016-10-09,25.8,2.4,AC
2016-10-10,25.5,9.3,AC
2016-10-11,25.0,5.9,AC
2016-10-12,26.6,0.0,AC
2016-10-13,27.7,0.3,AC
2016-10-14,27.3,1.1,AC
2016-10-15,27.6,2.0,AC
2016-10-16,28.5,0.0,AC
2016-10-17,28.3,0.9,AC
2016-10-18,28.8,0.0,AC
2016-10-19,28.3,3.2,AC
2016-10-20,27.7,13.9,AC
2016-10-21,25.7,18.5,AC
2016-10-22,26.0,3.0,AC
2016-10-23,26.8,3.5,AC
2016-10-24,27.2,6.7,AC
2016-10-25,26.2,11.8,AC
2016-10-26,26.1,4.5,AC
2016-10-27,22.6,14.4,AC
2016-10-28,21.6,6.1,AC
2016-10-29,23.2,1.6,AC
2016-10-30,26.1,0.0,AC
2016-10-31,27.0,1.1,AC
2016-11-01,26.6,4.5,AC
2016-11-02,27.3,3.1,AC
2016-11-03,22.2,30.1,AC
2016-11-04,23.5,1.4,AC
2016-11-05,25.6,3.1,AC
2016-11-06,26.6,5.1,AC
2016-11-07,26.7,8.2,AC
2016-11-08,26.6,7.0,AC
2016-11-09,25.7,31.1,AC
2016-11-10,25.5,12.9,AC
2016-11-11,26.4,6.5,AC
2016-11-12,25.8,9.8,AC
2016-11-13,24.5,12.8,AC
2016-11-14,25.8,4.3,AC
2016-11-15,26.6,2.5,AC
2016-11-16,26.6,2.5,AC
2016-11-17,25.1,18.8,AC
2016-11-18,22.7,15.2,AC
2016-11-19,24.0,0.0,AC
2016-11-20,25.4,0.4,AC
2016-11-21,26.3,1.4,AC
2016-11-22,26.9,4.5,AC
2016-11-23,25.6,0.9,AC
2016-11-24,26.1,0.8,AC
2016-11-25,27.0,5.9,AC
2016-11-26,25.9,8.5,AC
2016-11-27,25.7,1.4,AC
2016-11-28,27.3,0.4,AC
2016-11-29,27.3,6.4,AC
2016-11-30,25.0,15.5,AC
2016-12-01,25.0,11.8,AC
2016-12-02,26.0,1.4,AC
2016-12-03,27.1,0.0,AC
2016-12-04,25.5,7.3,AC
